Tiempo_ms	Voltaje_V
1184	2.59810
1184	2.57635
1185	2.38052
1185	2.60133
1186	2.51351
1187	2.32171
1187	2.87450
1188	2.63355
1188	2.50223
1189	3.09536
1189	2.77138
1190	2.81327
1190	2.96157
1191	2.91886
1288	2.44659
1288	2.68839
1289	2.87450
1289	2.83583
1290	2.61744
1290	2.76090
1290	2.78024
1291	2.89308
1291	3.17029
1291	3.22910
1292	2.98815
1292	2.97929
1293	2.97848
1293	2.91484
1293	3.07758
1294	3.09536
1294	3.14370
1295	3.22346
1295	2.99943
1295	2.93337
1296	2.96318
1296	3.06389
1296	2.90033
1297	3.07033
1297	2.72062
1298	2.89711
1298	2.82374
1298	2.52479
1299	2.51190
1299	2.63839
1299	2.56024
1300	2.74721
1300	2.44820
1301	2.54171
1301	2.56991
1302	2.43450
1302	2.81730
1302	2.66095
1303	2.35313
1303	2.35877
1304	2.74398
1304	3.05664
1304	2.86886
1305	2.66336
1305	2.39100
1306	2.64806
1306	2.88417
1306	2.52318
1307	2.72706
1307	2.89147
1308	2.99863
1308	3.11147
1309	3.07194
1309	2.89469
1310	2.79393
1310	3.04536
1310	3.11067
1311	3.00588
1311	3.27422
1312	2.81005
1312	2.98654
1313	2.86161
1313	2.83664
1314	2.61986
1314	2.84791
1314	2.91322
1315	2.65772
1315	2.77460
1316	2.76815
1316	2.76896
1317	2.59488
1317	2.53043
1318	2.69242
1318	2.59327
1319	2.84872
1319	2.46189
1320	2.64081
1320	2.61986
1320	2.44336
1321	2.59972
1321	2.55943
1322	2.67142
1322	2.81085
1323	2.68195
1323	3.04938
1324	3.20654
1324	2.74237
1325	3.11631
1325	3.00829
1326	2.86081
1326	3.16545
1327	3.22346
1327	3.30000
1328	3.03649
1328	3.30000
1329	2.62389
1329	2.74076
1330	2.68839
1330	2.66256
1331	2.58280
1377	3.11631
1378	3.16545
1378	2.93498
1378	3.10986
1379	2.69806
1379	3.09289
1379	2.81085
1380	2.71337
1380	2.67706
1380	2.67706
1381	3.04938
1381	2.78991
1382	2.73915
1382	2.74237
1382	2.82294
1383	2.53526
1383	2.51754
1383	2.40066
1384	2.44175
1384	2.77218
1385	2.59891
1385	2.42564
1385	2.35474
1386	2.34024
1387	2.89228
1387	2.71176
1387	2.36360
1388	2.76010
1388	2.93014
1389	2.42886
1389	3.07355
1390	2.92209
1390	2.59810
1390	2.85033
1391	2.93981
1391	3.15176
1392	3.07275
1393	2.97607
1393	3.07758
1393	3.20654
1394	3.02280
1394	3.08081
1395	3.03085
1395	2.83744
1396	2.98976
1396	2.79635
1396	2.61100
1397	2.58038
1397	2.53365
1398	2.54896
1398	2.70370
1398	2.72223
1399	2.66981
1399	2.61422
1400	2.41194
1401	2.45867
1401	2.64242
1401	2.43289
1402	2.76010
1402	2.58521
1403	2.40953
1403	2.36280
1404	2.60052
1404	2.73754
1404	2.38938
1405	2.74237
1405	2.92128
1406	2.68195
1406	2.62550
1407	2.80280
1407	3.19123
1408	2.75768
1408	3.13484
1409	3.07597
1410	3.09536
1410	3.08645
1411	2.98332
1411	3.29517
1412	3.21379
1413	3.05341
1413	2.91645
1414	2.62711
1414	2.46995
1415	2.85517
1415	2.60133
1416	2.72867
1416	2.56668
1417	2.48612
1417	2.51593
1418	2.33702
1419	2.66900
1419	2.58763
1420	2.78104
1420	2.39583
1421	2.90195
1421	2.94223
1422	2.63517
1422	2.62228
1423	2.62147
1423	2.79474
1476	2.87047
1477	3.25327
1477	2.92289
1477	3.26374
1478	2.95512
1478	2.94062
1479	3.07678
1479	3.06791
1480	2.54976
1480	2.67062
1481	2.86000
1481	2.62630
1481	2.53043
1482	2.81569
1482	2.52962
1482	2.51754
1483	2.36280
1483	2.47645
1484	2.45626
1484	2.34829
1484	2.48934
1485	2.50062
1486	2.62066
1486	2.52237
1486	2.51673
1487	2.97123
1487	2.61583
1488	2.54251
1488	2.84147
1489	2.78588
1489	2.68517
1489	2.64725
1490	3.03649
1490	3.11953
1491	3.24521
1491	2.84066
1492	3.10100
1493	3.03649
1493	3.09209
1494	2.99943
1495	3.22266
1495	2.56588
1496	3.06791
1497	2.81649
1497	2.92450
1497	2.86645
1498	2.97123
1498	2.42645
1499	2.70692
1499	2.42967
1500	2.52237
1500	2.73915
1500	2.42161
1501	2.55621
1502	2.68517
1502	2.60133
1502	2.67223
1503	2.42886
1503	2.48370
1504	2.75446
1504	2.73673
1505	3.01555
1505	2.42322
1506	2.91645
1506	2.82616
1507	3.25166
1507	3.09616
1508	3.27986
1509	3.06147
1509	2.94062
1510	2.93498
1510	3.00749
1511	3.08403
1512	3.05664
1512	2.82697
1513	2.97526
1513	2.58844
1514	2.61905
1514	2.85597
1515	2.49176
1515	2.62469
1516	2.50062
1516	2.39986
1517	2.46915
1518	2.74398
1519	2.34265
1519	2.43047
1520	2.44820
1520	2.63355
1521	2.71659
1521	2.83422
1522	2.98412
1522	2.93740
1523	2.50062
1523	2.90114
1524	2.64564
1524	2.89147
1525	3.13725
1526	2.96721
1526	3.30000
1622	2.81166
1623	2.74157
1623	2.91806
1623	2.80038
1624	3.04455
1624	2.98010
1624	2.67787
1625	3.27502
1625	3.19284
1626	3.03569
1626	3.09616
1627	3.08161
1628	2.90517
1629	3.00185
1629	3.29194
1630	2.72142
1630	2.75123
1630	2.83261
1631	2.62066
1631	2.72948
1631	2.54010
1632	2.87289
1632	2.33782
1633	2.50867
1633	2.76412
1633	2.60213
1634	2.62630
1634	2.74398
1634	2.49659
1635	2.62469
1635	2.76171
1636	2.45867
1636	2.56668
1636	2.38858
1637	2.76735
1637	2.50626
1638	2.40308
1638	3.15740
1639	3.06227
1640	2.81246
1640	2.69645
1640	3.01716
1641	3.06953
1641	3.30000
1642	3.14612
1643	2.94948
1643	3.17109
1643	3.03166
1644	3.04697
1644	3.30000
1645	3.10341
1646	2.79393
1646	2.73512
1647	2.85597
1647	2.73673
1647	2.59246
1648	2.64886
1648	2.68678
1649	2.64967
1649	2.71578
1650	2.40711
1651	2.70612
1651	2.53768
1651	2.83100
1652	2.72948
1652	2.74640
1653	2.54735
1653	2.36924
1654	2.58199
1655	2.63275
1655	3.06872
1656	2.73029
1656	2.80038
1657	2.99540
1657	2.78266
1658	3.06630
1658	3.18801
1659	2.84791
1659	2.99138
1659	3.02924
1660	3.28791
1661	3.00427
1661	3.23716
1662	2.92370
1662	3.11550
1663	2.66739
1664	2.56588
1664	2.85355
1665	2.85517
1665	3.01716
1666	2.34265
1666	2.66175
1667	2.58924
1668	2.75123
1668	2.53848
1669	2.44659
1670	2.56829
1671	2.38133
1671	2.78185
1671	2.37649
1718	2.55702
1719	2.40308
1720	2.36441
1720	2.98815
1720	2.35877
1721	2.62711
1721	2.47479
1722	2.69161
1722	2.51593
1722	2.75848
1723	2.98735
1723	2.53285
1724	2.66256
1724	2.89711
1725	2.97043
1725	3.13564
1726	3.14128
1726	2.93981
1727	3.30000
1727	3.03246
1727	2.93981
1728	3.30000
1728	2.81166
1729	2.97687
1729	2.62791
1729	2.56668
1730	2.77943
1730	2.70612
1730	2.81488
1731	2.47967
1731	2.73270
1732	2.40147
1733	2.50062
1733	2.49176
1734	2.68436
1734	2.38455
