tiempo_s,voltaje_v
0.137000,1.03066
0.137500,1.32081
0.138000,1.78739
0.138500,2.16455
0.139000,2.24995
0.139500,2.00336
0.140000,1.56900
0.140500,1.15156
0.141000,1.00246
0.141500,1.18782
0.142000,1.62137
0.142500,2.04848
0.143000,2.26284
0.143500,2.13957
0.144000,1.73825
0.144500,1.27972
0.145000,1.01616
0.145500,1.08791
0.146000,1.44654
0.146500,1.90427
0.147000,2.21772
0.147500,2.21450
0.148000,1.90185
0.148500,1.42716
0.149000,1.07261
0.149500,1.02986
0.150000,1.87446
0.150500,1.28536
0.151000,1.01052
0.151500,1.11370
0.152000,1.51019
0.152500,1.97194
0.153000,2.24351
0.153500,2.17905
0.154000,1.82123
0.154500,1.35464
0.155000,1.03957
0.155500,1.04844
0.156000,1.36673
0.156500,1.83493
0.157000,2.18872
0.157500,2.23384
0.158000,1.96308
0.158500,1.51744
0.159000,1.12659
0.159500,1.00569
0.160000,1.21682
0.160500,1.66493
0.161000,2.08721
0.161500,2.26526
0.162000,2.11138
0.162500,1.68265
0.163000,1.24185
0.163500,1.00810
0.164000,1.11450
0.164500,1.49085
0.165000,1.94858
0.165500,2.22820
0.166000,2.19517
0.166500,1.84540
0.167000,1.38445
0.167500,1.05569
0.168000,1.04521
0.168500,1.36109
0.169000,1.81317
0.169500,2.17180
0.170000,2.24673
0.170500,1.98967
0.171000,1.54645
0.171500,1.14351
0.172000,1.00246
0.172500,1.19990
0.173000,1.63185
0.173500,2.06787
0.174000,2.25640
0.174500,2.12104
0.175000,1.71891
0.175500,1.27005
0.176000,1.01616
0.176500,1.09517
0.177000,1.46829
0.177500,1.92924
0.178000,2.22981
0.178500,2.20322
0.179000,1.86962
0.179500,1.40621
0.180000,1.06052
0.180500,2.21853
0.181000,1.76806
0.181500,1.28455
0.182000,1.01696
0.182500,1.09275
0.183000,1.45460
0.183500,1.91313
0.184000,2.22256
0.184500,2.21370
0.185000,1.88574
0.185500,1.43360
0.186000,1.07583
0.186500,1.02583
0.187000,1.30872
0.187500,1.76564
0.188000,2.15408
0.188500,2.26043
0.189000,2.02189
0.189500,1.57545
0.190000,1.16204
0.190500,1.00407
0.191000,1.16929
0.191500,1.59559
0.192000,2.03881
0.192500,2.24431
0.193000,2.14683
0.193500,1.75597
0.194000,1.29825
0.194500,1.02341
0.195000,1.07422
0.195500,1.42877
0.196000,1.88574
0.196500,2.21370
0.197000,2.22014
0.197500,1.92280
0.198000,1.45540
0.198500,1.09436
0.199000,1.01535
0.199500,1.32081
0.200000,1.79303
0.200500,2.16455
0.201000,2.25076
0.201500,1.99853
0.202000,1.56014
0.202500,1.15479
0.203000,1.00327
0.203500,1.18862
0.204000,1.60768
0.204500,2.04365
0.205000,2.25720
0.205500,2.13232
0.206000,1.73341
0.206500,1.28536
0.207000,1.02019
0.207500,1.07986
0.208000,1.44327
0.208500,1.90910
0.209000,2.21772
0.209500,2.21531
0.210000,1.89299
0.210500,1.89138
0.211000,2.25156
0.211500,2.14199
0.212000,1.75194
0.212500,1.29341
0.213000,1.02260
0.213500,1.06938
0.214000,1.43279
0.214500,1.89540
0.215000,2.21692
0.215500,2.22095
0.216000,1.90829
0.216500,1.44896
0.217000,1.08228
0.217500,1.02180
0.218000,1.29261
0.218500,1.74953
0.219000,2.14441
0.219500,2.25559
0.220000,2.03317
0.220500,1.60929
0.221000,1.18460
0.221500,1.00246
0.222000,1.15962
0.222500,1.57867
0.223000,2.01545
0.223500,2.25076
0.224000,2.15730
0.224500,1.78095
0.225000,1.31114
0.225500,1.03474
0.226000,1.07019
0.226500,1.41507
0.227000,1.87365
0.227500,2.20725
0.228000,2.23223
0.228500,1.93247
0.229000,1.46507
0.229500,1.09194
0.230000,1.01374
0.230500,1.27972
0.231000,1.73100
0.231500,2.13796
0.232000,2.25801
0.232500,2.04043
0.233000,1.60204
0.233500,1.17412
0.234000,1.00005
0.234500,1.17090
0.235000,1.60043
0.235500,2.04123
0.236000,2.25801
0.236500,2.13957
0.237000,1.74791
0.237500,1.29744
0.238000,1.02502
0.238500,1.06858
0.239000,1.41749
0.239500,1.88412
0.240000,2.20725
0.240500,1.00246
0.241000,1.26763
0.241500,1.74630
0.242000,2.14441
0.242500,2.25720
0.243000,2.03640
0.243500,1.60043
0.244000,1.17815
0.244500,1.00085
0.245000,1.17009
0.245500,1.57303
0.246000,2.02109
0.246500,2.25479
0.247000,2.14521
0.247500,1.75194
0.248000,1.28536
0.248500,1.02099
0.249000,1.07664
0.249500,1.42877
0.250000,1.89540
0.250500,2.21450
0.251000,2.22417
0.251500,1.91555
0.252000,1.44654
0.252500,1.08469
0.253000,1.01858
0.253500,1.28858
0.254000,1.73422
0.254500,2.13232
0.255000,2.25720
0.255500,2.05090
