"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.203097875E0	3.056637830E-1	7.019827974E-1	-7.089778215E-1	1.043484426E0
1.213030875E0	4.895359111E-1	1.136708371E0	-1.038960174E0	1.615917564E0
1.222963875E0	6.118340810E-1	1.348955282E0	-1.623900425E0	2.197970402E0
1.232896875E0	1.008793731E0	1.436513536E0	-1.936935208E0	2.613991953E0
1.242829875E0	1.457487791E0	1.401631386E0	-1.656900356E0	2.614222637E0
1.252762875E0	1.275162544E0	1.122108166E0	-1.623826751E0	2.349889266E0
1.262695875E0	1.028855382E0	8.869965944E-1	-1.832327936E0	2.280949806E0
1.272627875E0	7.231027211E-1	6.117503196E-1	-2.050067137E0	2.258293884E0
1.282560875E0	7.205072151E-1	-9.540346295E-2	-2.169011782E0	2.287541165E0
1.292493875E0	1.467385665E0	-7.471621862E-1	-1.575201890E0	2.278756902E0
1.302426875E0	1.344821155E0	-3.729842386E-1	-1.040299187E0	1.740656077E0
1.312359875E0	1.960005690E-1	2.808771434E-1	-1.210191207E0	1.257724513E0
1.322292875E0	-2.890609247E-1	1.692181286E-1	-1.519993064E0	1.556460700E0
1.332225875E0	-1.136142324E-1	-2.672271109E-1	-1.503650681E0	1.531431975E0
1.342158875E0	-2.940225613E-1	-3.953477919E-1	-1.346860517E0	1.434148666E0
1.352091875E0	-5.086364988E-1	-3.441717911E-1	-1.476384530E0	1.599023637E0
1.362024875E0	-4.875395255E-1	-2.827122921E-1	-1.760682587E0	1.848681747E0
1.371957875E0	2.117217402E-1	-3.506101602E-1	-1.700155134E0	1.748794173E0
1.381890875E0	1.221910854E0	-7.160687399E-1	-3.669999057E-1	1.463048019E0
1.391822875E0	1.270036728E0	-6.678040677E-1	1.132153097E0	1.827765357E0
1.401755875E0	1.144875396E0	-5.748152125E-1	1.665388759E0	2.101112068E0
1.411688875E0	9.611802194E-1	-5.033669150E-1	9.435154885E-1	1.437868959E0
1.421621875E0	7.493937761E-1	-3.686938441E-1	-1.039705110E-1	8.416270251E-1
1.431554875E0	2.653661979E-1	-4.726725411E-1	-8.104410464E-1	9.750144818E-1
1.441487875E0	-2.197134405E-1	-6.737816763E-1	-1.035417931E0	1.254729467E0
1.451420875E0	-8.690506124E-1	-8.156959391E-1	-7.564016640E-1	1.411648791E0
1.461353875E0	-1.186808630E0	-7.963714761E-1	-6.849229610E-1	1.584879085E0
1.471286875E0	-9.437832910E-1	-6.382656884E-1	-9.396042860E-1	1.476809468E0
1.481219875E0	-4.750752351E-1	-4.238383502E-1	-1.291703147E0	1.440080708E0
