"Time (s)"	"Sound pressure level (dB)"
1.889318200E1	8.610513817E1
1.899801479E1	6.929985307E1
1.910130233E1	6.212682801E1
1.920551104E1	5.971507507E1
1.930967263E1	5.932796883E1
1.941484575E1	5.871330444E1
1.951842563E1	6.101827285E1
1.962212275E1	6.227927053E1
1.972871196E1	6.292501706E1
1.983171200E1	6.423119123E1
1.993831125E1	6.591143269E1
2.004361900E1	6.331032226E1
2.014993437E1	6.581161773E1
2.025640225E1	7.598998559E1
2.036026725E1	7.721164456E1
2.046537404E1	8.167816437E1
2.057191513E1	8.711510604E1
2.067402833E1	8.107581384E1
2.077997708E1	8.682644894E1
2.088646921E1	7.467480739E1
2.099312079E1	7.958571362E1
2.109696467E1	7.800480920E1
2.119906921E1	8.708508415E1
2.130543717E1	8.252983841E1
2.140967483E1	9.017301418E1
2.151583571E1	8.511187167E1
2.162223063E1	7.753468696E1
2.172705254E1	6.687831153E1
2.183257800E1	6.118677163E1
2.193423488E1	5.874660798E1
2.204071158E1	6.025149454E1
2.214365338E1	6.217911735E1
2.224939679E1	6.507522593E1
2.235592308E1	6.476083952E1
2.246022950E1	6.241688051E1
2.256615808E1	6.425787617E1
2.267266612E1	7.031924382E1
2.277689046E1	6.327825868E1
2.288297433E1	6.297365753E1
2.298641304E1	6.056374297E1
2.308937112E1	6.110728977E1
2.319357242E1	6.089958530E1
2.329984675E1	6.064247960E1
2.340551142E1	6.572078615E1
2.350972996E1	6.141658334E1
2.361468025E1	5.850106553E1
2.371651254E1	6.073682860E1
2.382212138E1	5.919119989E1
2.392695292E1	5.844843266E1
2.403342546E1	5.902447771E1
2.414003246E1	8.015528570E1
2.424363496E1	7.954767284E1
2.434990108E1	8.263535249E1
2.445638608E1	8.428175345E1
2.456021413E1	8.345954580E1
2.466508725E1	8.295538561E1
2.476699967E1	7.688675628E1
2.487355913E1	8.091707084E1
2.497688658E1	7.345930940E1
2.508176879E1	8.596774184E1
2.518654112E1	8.497364470E1
2.529306467E1	8.532356097E1
2.539853954E1	8.973995773E1
2.550058929E1	8.181754339E1
2.560549813E1	8.899463238E1
2.570971988E1	8.376804759E1
2.581533104E1	8.625729963E1
2.592192367E1	8.348871895E1
2.602696250E1	7.919823446E1
2.613218283E1	8.806029411E1
2.623419242E1	8.409194051E1
2.634077275E1	8.288353561E1
2.644353900E1	9.071884979E1
2.654902454E1	8.409387828E1
2.665097004E1	8.576977496E1
2.675751787E1	8.685950839E1
2.686274392E1	8.489696258E1
2.696775350E1	8.545379759E1
2.707402563E1	8.789470531E1
2.717941796E1	8.272058923E1
