Tiempo(s)	Voltaje(V)
0.232621	1.04199
0.233149	1.30066
0.233677	1.70280
0.234205	2.07431
0.234735	2.26043
0.235264	2.18228
0.235792	1.85265
0.236319	1.45460
0.236849	1.11934
0.237376	1.00649
0.237906	1.15479
0.238434	1.50858
0.238961	1.91555
0.239490	2.20403
0.240020	2.25156
0.240549	2.03398
0.241078	1.64474
0.241605	1.26199
0.242134	1.02824
0.242662	1.05327
0.243190	1.32886
0.243720	1.73502
0.244248	2.09929
0.244777	2.26768
0.245305	2.16455
0.245832	1.83493
0.246361	1.42313
0.246889	1.10403
0.247416	1.00488
0.247944	1.15962
0.248472	1.53919
0.248999	1.94213
0.249528	2.21853
0.250056	2.24351
0.250583	2.00820
0.251112	1.62218
0.251640	1.23294
0.252170	1.01777
0.252698	1.06938
0.253226	1.35464
0.253754	1.76161
0.254283	2.12104
0.254810	2.26204
0.255338	2.14521
0.255867	1.81076
0.256395	1.40218
0.256922	1.09033
0.257450	1.00971
0.257977	1.18379
0.258506	1.58270
0.259037	1.96872
0.259566	2.22659
0.260094	2.23303
0.260622	1.98564
0.261150	1.58995
0.261680	1.21279
0.262209	1.01374
0.262738	1.07825
0.263267	1.38365
0.263797	1.79062
0.264326	2.12588
0.264856	2.26607
0.265384	2.12427
0.265913	1.78095
0.266441	1.36915
0.266969	1.07180
0.267499	1.01697
0.268028	1.22407
0.268556	1.59156
0.269091	2.00336
0.269620	2.24351
0.270148	2.21853
0.270675	1.93327
